date,symbol,price
2010-01-01,AAPL,7.645
2010-02-01,AAPL,6.953
2010-03-01,AAPL,7.465
2010-04-01,AAPL,8.43
2010-05-01,AAPL,9.516
2010-06-01,AAPL,9.31
2010-07-01,AAPL,8.875
2010-08-01,AAPL,9.35
2010-09-01,AAPL,8.94
2010-10-01,AAPL,10.09
2010-11-01,AAPL,10.87
2010-12-01,AAPL,11.3
2011-01-01,AAPL,11.77
2011-02-01,AAPL,12.32
2011-03-01,AAPL,12.48
2011-04-01,AAPL,12.305
2011-05-01,AAPL,12.37
2011-06-01,AAPL,12.336
2011-07-01,AAPL,12.26
2011-08-01,AAPL,14.17
2011-09-01,AAPL,13.61
2011-10-01,AAPL,13.375
2011-11-01,AAPL,14.164
2011-12-01,AAPL,13.85
2012-01-01,AAPL,14.69
2012-02-01,AAPL,16.3
2012-03-01,AAPL,19.45
2012-04-01,AAPL,22.1
2012-05-01,AAPL,20.8
2012-06-01,AAPL,20.03
2012-07-01,AAPL,21.16
2012-08-01,AAPL,21.67
2012-09-01,AAPL,24.11
2012-10-01,AAPL,23.55
2012-11-01,AAPL,21.31
2012-12-01,AAPL,20.94
2013-01-01,AAPL,19.61
2013-02-01,AAPL,16.2
2013-03-01,AAPL,15.375
2013-04-01,AAPL,15.32
2013-05-01,AAPL,15.69
2013-06-01,AAPL,16.1
2013-07-01,AAPL,14.62
2013-08-01,AAPL,16.31
2013-09-01,AAPL,17.45
2013-10-01,AAPL,17.42
2013-11-01,AAPL,18.58
2013-12-01,AAPL,19.69
2014-01-01,AAPL,19.75
2014-02-01,AAPL,17.9
2014-03-01,AAPL,18.84
2014-04-01,AAPL,19.34
2014-05-01,AAPL,21.12
2014-06-01,AAPL,22.45
2014-07-01,AAPL,23.38
2014-08-01,AAPL,24.03
2014-09-01,AAPL,25.83
2014-10-01,AAPL,24.8
2014-11-01,AAPL,27.34
2014-12-01,AAPL,28.77
2015-01-01,AAPL,27.33
2015-02-01,AAPL,29.66
2015-03-01,AAPL,32.28
2015-04-01,AAPL,31.06
2015-05-01,AAPL,32.25
2015-06-01,AAPL,32.62
2015-07-01,AAPL,31.66
2015-08-01,AAPL,29.61
2015-09-01,AAPL,26.94
2015-10-01,AAPL,27.39
2015-11-01,AAPL,30.3
2015-12-01,AAPL,29.33
2016-01-01,AAPL,26.34
2016-02-01,AAPL,24.11
2016-03-01,AAPL,25.12
2016-04-01,AAPL,27.5
2016-05-01,AAPL,23.4
2016-06-01,AAPL,24.61
2016-07-01,AAPL,23.97
2016-08-01,AAPL,26.52
2016-09-01,AAPL,26.69
2016-10-01,AAPL,28.12
2016-11-01,AAPL,27.88
2016-12-01,AAPL,27.38
2017-01-01,AAPL,29.03
2017-02-01,AAPL,32.2
2017-03-01,AAPL,34.94
2017-04-01,AAPL,35.94
2017-05-01,AAPL,36.66
2017-06-01,AAPL,38.28
2017-07-01,AAPL,35.88
2017-08-01,AAPL,37.5
2017-09-01,AAPL,41.0
2017-10-01,AAPL,38.44
2017-11-01,AAPL,41.72
2017-12-01,AAPL,42.75
2018-01-01,AAPL,43.06
2018-02-01,AAPL,41.94
2018-03-01,AAPL,43.75
2018-04-01,AAPL,41.66
2018-05-01,AAPL,42.28
2018-06-01,AAPL,47.56
2018-07-01,AAPL,46.78
2018-08-01,AAPL,50.38
2018-09-01,AAPL,57.1
2018-10-01,AAPL,56.8
2018-11-01,AAPL,55.56
2018-12-01,AAPL,46.22
2019-01-01,AAPL,39.47
2019-02-01,AAPL,41.62
2019-03-01,AAPL,43.75
2019-04-01,AAPL,47.8
2019-05-01,AAPL,52.62
2019-06-01,AAPL,43.3
2019-07-01,AAPL,50.38
2019-08-01,AAPL,52.1
2019-09-01,AAPL,51.44
2019-10-01,AAPL,56.16
2019-11-01,AAPL,63.97
2019-12-01,AAPL,66.06
2020-01-01,AAPL,75.06
2020-02-01,AAPL,77.2
2020-03-01,AAPL,74.7
2020-04-01,AAPL,60.22
2020-05-01,AAPL,72.25
2020-06-01,AAPL,80.44
2020-07-01,AAPL,91.0
2020-08-01,AAPL,108.94
2020-09-01,AAPL,134.1
2020-10-01,AAPL,116.8
2020-11-01,AAPL,108.75
2020-12-01,AAPL,122.75
2021-01-01,AAPL,129.4
2021-02-01,AAPL,134.1
2021-03-01,AAPL,127.8
2021-04-01,AAPL,123.0
2021-05-01,AAPL,132.5
2021-06-01,AAPL,124.25
2021-07-01,AAPL,137.2
2021-08-01,AAPL,145.5
2021-09-01,AAPL,152.5
2021-10-01,AAPL,142.6
2010-01-01,AMZN,133.9
2010-02-01,AMZN,118.9
2010-03-01,AMZN,124.56
2010-04-01,AMZN,131.8
2010-05-01,AMZN,137.5
2010-06-01,AMZN,123.25
2010-07-01,AMZN,110.94
2010-08-01,AMZN,120.06
2010-09-01,AMZN,132.5
2010-10-01,AMZN,153.8
2010-11-01,AMZN,162.6
2010-12-01,AMZN,176.5
2011-01-01,AMZN,184.2
2011-02-01,AMZN,172.1
2011-03-01,AMZN,169.5
2011-04-01,AMZN,180.1
2011-05-01,AMZN,201.2
2011-06-01,AMZN,192.4
2011-07-01,AMZN,209.5
2011-08-01,AMZN,221.4
2011-09-01,AMZN,212.5
2011-10-01,AMZN,212.0
2011-11-01,AMZN,212.1
2011-12-01,AMZN,197.1
2012-01-01,AMZN,179.0
2012-02-01,AMZN,179.5
2012-03-01,AMZN,180.0
2012-04-01,AMZN,198.0
2012-05-01,AMZN,230.0
2012-06-01,AMZN,208.2
2012-07-01,AMZN,229.4
2012-08-01,AMZN,232.1
2012-09-01,AMZN,247.9
2012-10-01,AMZN,252.0
2012-11-01,AMZN,232.1
2012-12-01,AMZN,250.4
2013-01-01,AMZN,257.2
2013-02-01,AMZN,265.0
2013-03-01,AMZN,265.8
2013-04-01,AMZN,261.5
2013-05-01,AMZN,248.2
2013-06-01,AMZN,267.0
2013-07-01,AMZN,282.0
2013-08-01,AMZN,305.5
2013-09-01,AMZN,288.8
2013-10-01,AMZN,321.0
2013-11-01,AMZN,359.0
2013-12-01,AMZN,392.2
2014-01-01,AMZN,398.0
