date,AAPL,AMZN,GOOG,MSFT,NFLX,TSLA
2010-01-01,7.64,133.9,312.2,30.95,7.64,
2010-02-01,6.95,118.9,265.5,28.4,8.72,
2010-03-01,7.46,124.56,265.2,29.02,9.96,
2010-04-01,8.43,131.8,283.2,29.16,10.71,
2010-05-01,9.52,137.5,264.2,30.86,14.57,
2010-06-01,9.31,123.25,240.2,25.89,15.33,4.777
2010-07-01,8.88,110.94,218.9,23.16,15.664,4.39
2010-08-01,9.35,120.06,244.2,26.33,14.555,4.184
2010-09-01,8.94,132.5,229.2,23.9,19.27,4.09
2010-10-01,10.09,153.8,261.8,24.38,22.1,4.12
2010-11-01,10.87,162.6,306.2,26.95,23.9,4.28
2010-12-01,11.3,176.5,281.0,26.05,28.6,6.87
2011-01-01,11.77,184.2,301.0,27.98,25.48,5.324
2011-02-01,12.32,172.1,304.5,27.98,30.42,4.78
2011-03-01,12.48,169.5,299.2,26.16,29.23,4.79
2011-04-01,12.3,180.1,294.8,25.48,34.6,5.332
2011-05-01,12.37,201.2,268.2,25.66,33.88,5.49
2011-06-01,12.34,192.4,261.8,24.44,38.2,5.703
2011-07-01,12.26,209.5,259.5,26.02,38.28,5.805
2011-08-01,14.17,221.4,302.2,27.27,37.62,5.754
2011-09-01,13.61,212.5,265.2,26.2,33.3,4.8
2011-10-01,13.38,212.0,246.9,24.53,16.17,4.746
2011-11-01,14.16,212.1,288.2,25.98,11.445,5.777
2011-12-01,13.85,197.1,305.8,25.28,9.59,6.52
2012-01-01,14.69,179.0,331.5,26.77,10.32,5.617
2012-02-01,16.3,179.5,289.2,29.89,17.56,5.914
2012-03-01,19.45,180.0,310.0,32.28,16.11,6.883
2012-04-01,22.1,198.0,322.2,32.28,16.28,7.316
2012-05-01,20.8,230.0,301.0,32.0,11.625,6.758
2012-06-01,20.03,208.2,284.5,28.45,8.99,5.63
2012-07-01,21.16,229.4,289.2,30.56,9.695,6.08
2012-08-01,21.67,232.1,315.2,29.4,7.785,5.25
2012-09-01,24.11,247.9,339.2,30.39,7.99,5.63
2012-10-01,23.55,252.0,379.5,29.48,8.01,5.832
2012-11-01,21.31,232.1,342.5,29.52,11.1,5.85
2012-12-01,20.94,250.4,346.2,26.44,10.86,6.926
2013-01-01,19.61,257.2,360.2,27.62,13.14,7.07
2013-02-01,16.2,265.0,386.2,27.94,23.55,7.66
2013-03-01,15.38,265.8,401.5,27.95,27.05,6.93
2013-04-01,15.32,261.5,399.0,28.61,26.06,8.79
2013-05-01,15.69,248.2,408.8,32.72,30.42,10.66
2013-06-01,16.1,267.0,432.2,35.6,31.7,18.52
2013-07-01,14.62,282.0,442.2,34.38,32.03,23.44
2013-08-01,16.31,305.5,450.5,31.67,35.6,27.11
2013-09-01,17.45,288.8,428.5,31.88,41.28,33.78
2013-10-01,17.42,321.0,441.8,33.6,46.38,38.6
2013-11-01,18.58,359.0,511.5,35.53,47.03,32.44
2013-12-01,19.69,392.2,525.5,38.44,52.0,24.83
2014-01-01,19.75,398.0,554.5,37.16,51.84,30.02
2014-02-01,17.9,346.2,564.5,36.47,57.78,35.44
2014-03-01,18.84,359.8,599.0,37.78,63.66,50.12
2014-04-01,19.34,343.0,565.5,41.4,52.1,43.4
2014-05-01,21.12,308.0,530.0,40.0,48.06,41.53
2014-06-01,22.45,308.8,552.5,40.78,60.28,40.94
2014-07-01,23.38,332.5,581.0,41.88,67.56,47.94
2014-08-01,24.03,307.0,564.5,42.88,60.78,46.66
2014-09-01,25.83,342.5,575.5,45.1,68.06,56.8
2014-10-01,24.8,317.5,566.5,45.9,62.7,48.06
2014-11-01,27.34,305.8,553.5,47.44,55.5,48.53
2014-12-01,28.77,326.0,532.5,48.62,48.84,46.3
2015-01-01,27.33,308.5,523.5,46.75,49.84,43.88
2015-02-01,29.66,364.5,527.0,41.28,63.0,42.2
2015-03-01,32.28,385.8,570.0,43.88,68.6,39.47
2015-04-01,31.06,370.2,541.0,40.72,59.03,37.53
2015-05-01,32.25,422.8,538.0,48.66,79.56,45.22
2015-06-01,32.62,431.0,534.0,47.22,89.0,49.88
2015-07-01,31.66,437.5,522.0,44.44,93.6,53.84
2015-08-01,29.61,535.0,631.0,46.8,112.56,52.0
2015-09-01,26.94,496.5,598.0,41.8,105.8,47.72
2015-10-01,27.39,520.5,611.5,44.62,106.0,47.97
2015-11-01,30.3,628.5,721.0,53.25,107.6,42.75
2015-12-01,29.33,679.0,767.0,55.22,125.4,47.44
2016-01-01,26.34,637.0,742.0,54.8,109.94,44.7
2016-02-01,24.11,575.0,752.0,54.72,94.06,39.38
2016-03-01,25.12,579.0,719.0,52.6,98.3,37.28
2016-04-01,27.5,598.5,750.0,55.56,105.7,47.53
2016-05-01,23.4,684.0,698.0,50.62,93.1,48.38
2016-06-01,24.61,719.5,734.0,52.84,101.5,43.9
2016-07-01,23.97,725.5,699.0,51.16,96.7,43.3
2016-08-01,26.52,767.5,773.0,56.6,94.4,46.0
2016-09-01,26.69,770.5,769.0,57.6,97.4,40.16
2016-10-01,28.12,836.5,772.5,57.4,102.6,42.75
2016-11-01,27.88,785.5,783.5,59.8,123.3,38.16
2016-12-01,27.38,743.5,748.0,59.2,117.25,36.38
2017-01-01,29.03,753.5,786.0,62.6,127.5,43.4
2017-02-01,32.2,832.5,795.5,63.6,140.8,49.84
2017-03-01,34.94,853.0,835.0,64.94,142.6,50.0
2017-04-01,35.94,891.5,838.5,65.56,146.9,59.72
2017-05-01,36.66,948.0,912.5,69.44,155.4,64.56
2017-06-01,38.28,996.0,967.0,70.1,163.0,68.06
2017-07-01,35.88,953.5,898.5,68.2,146.1,70.5
2017-08-01,37.5,996.0,931.0,72.56,182.0,63.9
2017-09-01,41.0,978.0,937.5,73.94,174.8,71.06
2017-10-01,38.44,959.0,953.5,74.6,177.0,68.3
2017-11-01,41.72,1104.0,1026.0,83.2,198.0,64.2
2017-12-01,42.75,1162.0,1010.0,84.25,186.9,61.3
2018-01-01,43.06,1189.0,1065.0,85.94,201.1,64.1
2018-02-01,41.94,1390.0,1168.0,94.25,265.0,69.9
2018-03-01,43.75,1493.0,1070.0,92.9,290.5,66.2
2018-04-01,41.66,1372.0,1006.5,88.5,280.2,50.5
2018-05-01,42.28,1582.0,1037.0,95.0,313.2,59.97
2018-06-01,47.56,1642.0,1120.0,100.8,360.0,58.38
2018-07-01,46.78,1714.0,1127.0,100.0,398.2,67.0
2018-08-01,50.38,1797.0,1220.0,106.25,338.5,60.16
2018-09-01,57.1,2040.0,1197.0,111.7,363.5,57.78
2018-10-01,56.8,2004.0,1195.0,115.6,381.5,62.12
2018-11-01,55.56,1666.0,1070.0,105.94,317.5,68.9
2018-12-01,46.22,1772.0,1106.0,112.06,290.2,71.7
2019-01-01,39.47,1539.0,1046.0,101.1,267.8,62.03
2019-02-01,41.62,1626.0,1111.0,102.75,339.8,62.44
2019-03-01,43.75,1672.0,1141.0,112.5,357.2,58.97
2019-04-01,47.8,1814.0,1194.0,119.0,367.0,57.84
2019-05-01,52.62,1912.0,1168.0,127.9,378.8,46.8
2019-06-01,43.3,1693.0,1036.0,119.8,336.8,35.78
2019-07-01,50.38,1922.0,1098.0,135.6,374.5,45.44
2019-08-01,52.1,1855.0,1209.0,138.0,319.5,46.78
2019-09-01,51.44,1790.0,1168.0,136.0,289.2,45.0
2019-10-01,56.16,1736.0,1205.0,137.1,269.5,48.94
2019-11-01,63.97,1791.0,1274.0,143.8,286.8,62.66
2019-12-01,66.06,1782.0,1290.0,149.5,310.0,67.0
2020-01-01,75.06,1898.0,1367.0,160.6,329.8,86.06
2020-02-01,77.2,2004.0,1486.0,174.4,358.0,156.0
2020-03-01,74.7,1954.0,1389.0,172.8,381.0,148.8
2020-04-01,60.22,1908.0,1106.0,152.1,364.0,96.3
2020-05-01,72.25,2286.0,1321.0,174.6,415.2,140.2
2020-06-01,80.44,2472.0,1432.0,182.9,426.0,179.6
2020-07-01,91.0,2878.0,1438.0,204.8,485.8,223.9
2020-08-01,108.94,3112.0,1474.0,216.5,498.5,297.0
2020-09-01,134.1,3500.0,1661.0,227.2,556.5,475.0
2020-10-01,116.8,3222.0,1490.0,212.5,527.5,448.2
2020-11-01,108.75,3004.0,1626.0,202.4,484.0,400.5
2020-12-01,122.75,3220.0,1798.0,216.2,504.5,585.0
2021-01-01,129.4,3186.0,1728.0,217.8,523.0,730.0
2021-02-01,134.1,3342.0,1901.0,239.6,539.0,840.0
2021-03-01,127.8,3146.0,2082.0,237.0,550.5,718.5
2021-04-01,123.0,3160.0,2138.0,242.4,539.5,662.0
2021-05-01,132.5,3386.0,2396.0,251.9,509.0,685.0
2021-06-01,124.25,3218.0,2430.0,247.4,499.0,624.0
2021-07-01,137.2,3432.0,2528.0,271.5,533.5,678.0
2021-08-01,145.5,3332.0,2720.0,284.8,515.0,709.5
2021-09-01,152.5,3480.0,2916.0,301.8,582.0,734.0
2021-10-01,142.6,3284.0,2730.0,289.0,613.0,775.0
2021-11-01,148.96,3318.11,2875.48,329.37,681.17,1208.59
2021-12-01,164.77,3443.72,2832.36,330.08,617.77,1095.0
