Date,AAPL,AMZN,GOOG,MSFT,NFLX,TSLA
2020-12-15,127.88,3165.12,1767.77,214.13,519.78,633.25
2020-12-16,127.81,3240.96,1763,219.28,524.83,622.77
2020-12-17,128.7,3236.08,1747.9,219.42,532.9,655.9
2020-12-18,126.66,3201.65,1731.01,218.59,534.45,695
2020-12-21,128.23,3206.18,1739.37,222.59,528.91,649.86
2020-12-22,131.88,3206.52,1723.5,223.94,527.33,640.34
2020-12-23,130.96,3185.27,1732.38,221.02,514.48,645.98
2020-12-24,131.97,3172.69,1738.85,222.75,513.97,661.77
2020-12-28,136.69,3283.96,1776.09,224.96,519.12,663.69
2020-12-29,134.87,3322,1758.72,224.15,530.87,665.99
2020-12-30,133.72,3285.85,1739.52,221.68,524.59,694.78
2020-12-31,132.69,3256.93,1751.88,222.42,540.73,705.67
2021-01-04,129.41,3186.63,1728.24,217.69,522.86,729.77
2021-01-05,131.01,3218.51,1740.92,217.9,520.8,735.11
2021-01-06,126.6,3138.38,1735.29,212.25,500.49,755.98
2021-01-07,130.92,3162.16,1787.25,218.29,508.89,816.04
2021-01-08,132.05,3182.7,1807.21,219.62,510.4,880.02
2021-01-11,128.98,3114.21,1766.72,217.49,499.1,811.19
2021-01-12,128.8,3120.83,1746.55,214.93,494.25,849.44
2021-01-13,130.89,3165.89,1754.4,216.34,507.79,854.41
2021-01-14,128.91,3127.47,1740.18,213.02,500.86,845
2021-01-15,127.14,3104.25,1736.19,212.65,497.98,826.16
2021-01-19,127.83,3120.76,1790.86,216.44,501.77,844.55
2021-01-20,132.03,3263.38,1886.9,224.34,586.34,850.45
2021-01-21,136.87,3306.99,1891.25,224.97,579.84,844.99
2021-01-22,139.07,3292.23,1901.05,225.95,565.17,846.64
2021-01-25,142.92,3294,1899.4,229.53,556.78,880.8
2021-01-26,143.16,3326.13,1917.24,232.33,561.93,883.09
2021-01-27,142.06,3232.58,1830.79,232.9,523.28,864.16
2021-01-28,137.09,3237.62,1863.11,238.93,538.6,835.43
2021-01-29,131.96,3206.2,1835.74,231.96,532.39,793.53
2021-02-01,134.14,3342.88,1901.35,239.65,539.04,839.81
2021-02-02,134.99,3380,1927.51,239.51,548.16,872.79
2021-02-03,133.94,3312.53,2070.07,243,539.45,854.69
2021-02-04,137.39,3331,2062.37,242.01,552.16,849.99
2021-02-05,136.76,3352.15,2098,242.2,550.79,852.23
2021-02-08,136.91,3322.94,2092.91,242.47,547.92,863.42
2021-02-09,136.01,3305,2083.51,243.77,559.07,849.46
2021-02-10,135.39,3286.58,2095.38,242.82,563.59,804.82
2021-02-11,135.13,3262.13,2095.89,244.49,557.59,811.66
2021-02-12,135.37,3277.71,2104.11,244.99,556.52,816.12
2021-02-16,133.19,3268.95,2121.9,243.7,557.28,796.22
2021-02-17,130.84,3308.64,2128.31,244.2,551.34,798.15
2021-02-18,129.71,3328.23,2117.2,243.79,548.22,787.38
2021-02-19,129.87,3249.9,2101.14,240.97,540.22,781.3
2021-02-22,126,3180.74,2064.88,234.51,533.78,714.5
2021-02-23,125.86,3194.5,2070.86,233.27,546.15,698.84
2021-02-24,125.35,3159.53,2095.17,234.55,553.41,742.02
2021-02-25,120.99,3057.16,2031.36,228.99,546.7,682.22
2021-02-26,121.26,3092.93,2036.86,232.38,538.85,675.5
2021-03-01,127.79,3146.14,2081.51,236.94,550.64,718.43
2021-03-02,125.12,3094.53,2075.84,233.87,547.82,686.44
2021-03-03,122.06,3005,2026.71,227.56,520.7,653.2
2021-03-04,120.13,2977.57,2049.09,226.73,511.29,621.44
2021-03-05,121.42,3000.46,2108.54,231.6,516.39,597.95
2021-03-08,116.36,2951.95,2024.17,227.39,493.33,563
2021-03-09,121.09,3062.85,2052.7,233.78,506.44,673.58
2021-03-10,119.98,3057.64,2055.03,232.42,504.54,668.06
2021-03-11,121.96,3113.59,2114.77,237.13,523.06,699.6
2021-03-12,121.03,3089.49,2061.92,235.75,518.02,693.73
2021-03-15,123.99,3081.68,2066.49,234.81,520.25,707.94
2021-03-16,125.57,3091.86,2092.52,237.71,524.03,676.88
2021-03-17,124.76,3135.73,2091.08,237.04,524.44,701.81
2021-03-18,120.53,3027.99,2036.22,230.72,504.79,653.16
2021-03-19,119.99,3074.96,2043.2,230.35,512.18,654.87
2021-03-22,123.39,3110.87,2038.59,235.99,523.11,670
2021-03-23,122.54,3137.5,2052.96,237.58,535.09,662.16
2021-03-24,120.09,3087.07,2045.06,235.46,520.81,630.27
2021-03-25,120.59,3046.26,2044.36,232.34,502.86,640.39
2021-03-26,121.21,3052.03,2035.55,236.48,508.05,618.71
2021-03-29,121.39,3075.73,2055.95,235.24,513.95,611.29
2021-03-30,119.9,3055.29,2055.54,231.85,513.39,635.62
2021-03-31,122.15,3094.08,2068.63,235.77,521.66,667.93
2021-04-01,123,3161,2137.75,242.35,539.42,661.75
2021-04-05,125.9,3226.73,2225.55,249.07,540.67,691.05
2021-04-06,126.21,3223.82,2224.75,247.86,544.53,691.62
2021-04-07,127.9,3279.39,2249.68,249.9,546.99,670.97
2021-04-08,130.36,3299.3,2265.44,253.25,554.58,683.8
2021-04-09,133,3372.2,2285.88,255.85,555.31,677.02
2021-04-12,131.24,3379.39,2254.79,255.91,552.78,701.98
2021-04-13,134.43,3400,2267.27,258.49,553.73,762.32
2021-04-14,132.03,3333,2254.84,255.59,540.02,732.23
2021-04-15,134.5,3379.09,2296.66,259.5,549.22,738.85
2021-04-16,134.16,3399.44,2297.76,260.74,546.54,739.78
2021-04-19,134.84,3372.01,2302.4,258.74,554.44,714.63
2021-04-20,133.11,3334.69,2293.63,258.26,549.57,718.99
2021-04-21,133.5,3362.02,2293.29,260.58,508.9,744.12
2021-04-22,131.94,3309.04,2267.92,257.17,508.78,719.69
2021-04-23,134.32,3340.88,2315.3,261.15,505.55,729.4
2021-04-26,134.72,3409,2326.74,261.55,510.3,738.2
2021-04-27,134.39,3417.43,2307.12,261.97,505.55,704.74
2021-04-28,133.58,3458.5,2379.91,254.56,506.52,694.4
2021-04-29,133.48,3471.31,2429.89,252.51,509,677
2021-04-30,131.46,3467.42,2410.12,252.18,513.47,709.44
2021-05-03,132.54,3386.49,2395.17,251.86,509.11,684.9
2021-05-04,127.85,3311.87,2354.25,247.79,503.18,673.6
2021-05-05,128.1,3270.54,2356.74,246.47,496.08,670.94
2021-05-06,129.74,3306.37,2381.35,249.73,499.55,663.54
